Player Name,Position,Passing Yards,Passing Touchdowns,Rushing Yards,Rushing Touchdowns,Interceptions,RB Total Rushing Yards,RB Total Rushing Carries,RB Total Rushing Touchdowns,RB Receiving Yards,WR Total Receptions,WR Total Receiving Yards,WR Total Receiving Touchdowns,WR Rushing Yards,TE Total Receptions,TE Total Yards,TE Receiving Touchdowns,Total Yards Against,Total Interceptions,Total Points Allowed,Total FG Made,Total PAT Made
Josh Allen,QB,331,2,1,0,4,,,,,,,,,,,,,,,,
Jalen Hurts,QB,121,3,21,1,4,,,,,,,,,,,,,,,,
Lamar Jackson,QB,161,0,8,1,0,,,,,,,,,,,,,,,,
C.J Stroud,QB,313,4,32,1,4,,,,,,,,,,,,,,,,
Derek Henry,RB,,,,,,91,11,3,17,,,,,,,,,,,,
Breece Hall,RB,,,,,,56,11,1,14,,,,,,,,,,,,
Saquan Barkley,RB,,,,,,51,15,1,10,,,,,,,,,,,,
Christian McCaffrey,RB,,,,,,49,10,0,17,,,,,,,,,,,,
Tyreek Hill,WR,,,,,,,,,,8,189,2,10,,,,,,,,
Stefon Diggs,WR,,,,,,,,,,9,41,3,12,,,,,,,,
Justin Jefferson,WR,,,,,,,,,,8,43,2,21,,,,,,,,
Deebo Samuel,WR,,,,,,,,,,9,191,1,3,,,,,,,,
Mike Evans,WR,,,,,,,,,,10,63,2,22,,,,,,,,
Keenan Allen,WR,,,,,,,,,,8,59,2,16,,,,,,,,
DeVonta Smith,WR,,,,,,,,,,10,106,1,4,,,,,,,,
Davante Adams,WR,,,,,,,,,,8,189,3,16,,,,,,,,
Travis Kelce,TE,,,,,,,,,,,,,,4,46,2,,,,,
Sam LaPorta,TE,,,,,,,,,,,,,,5,59,2,,,,,
Mark Andrews,TE,,,,,,,,,,,,,,6,23,2,,,,,
Dawson Knox,TE,,,,,,,,,,,,,,8,27,0,,,,,
Cowboys Defensive Line,D/ST,,,,,,,,,,,,,,,,,157,0,6,,
Baltimore Defensive Line,D/ST,,,,,,,,,,,,,,,,,458,0,36,,
Pittsburgh Defensive Line,D/ST,,,,,,,,,,,,,,,,,166,1,4,,
Seattle Defense Line,D/ST,,,,,,,,,,,,,,,,,248,0,39,,
Justin Tucker,Kicker,,,,,,,,,,,,,,,,,,,,4,4
Brandon Aubrey,Kicker,,,,,,,,,,,,,,,,,,,,3,3
Brett Maher,Kicker,,,,,,,,,,,,,,,,,,,,1,4
Cameron Dicker,Kicker,,,,,,,,,,,,,,,,,,,,2,7
