Player Name,Position,Passing Yards,Passing Touchdowns,Rushing Yards,Rushing Touchdowns,Interceptions,RB Total Rushing Yards,RB Total Rushing Carries,RB Total Rushing Touchdowns,RB Receiving Yards,WR Total Receptions,WR Total Receiving Yards,WR Total Receiving Touchdowns,WR Rushing Yards,TE Total Receptions,TE Total Yards,TE Receiving Touchdowns,Total Yards Against,Total Interceptions,Total Points Allowed,Total FG Made,Total PAT Made
Josh Allen,QB,311,4,28,0,1,,,,,,,,,,,,,,,,
Jalen Hurts,QB,195,3,8,1,3,,,,,,,,,,,,,,,,
Lamar Jackson,QB,177,4,30,1,0,,,,,,,,,,,,,,,,
C.J Stroud,QB,187,3,33,1,1,,,,,,,,,,,,,,,,
Derek Henry,RB,,,,,,105,19,0,13,,,,,,,,,,,,
Breece Hall,RB,,,,,,77,5,2,16,,,,,,,,,,,,
Saquan Barkley,RB,,,,,,52,7,2,12,,,,,,,,,,,,
Christian McCaffrey,RB,,,,,,31,18,3,21,,,,,,,,,,,,
Tyreek Hill,WR,,,,,,,,,,11,23,0,6,,,,,,,,
Stefon Diggs,WR,,,,,,,,,,7,181,0,17,,,,,,,,
Justin Jefferson,WR,,,,,,,,,,8,169,3,22,,,,,,,,
Deebo Samuel,WR,,,,,,,,,,5,171,2,14,,,,,,,,
Mike Evans,WR,,,,,,,,,,3,156,2,15,,,,,,,,
Keenan Allen,WR,,,,,,,,,,11,177,0,2,,,,,,,,
DeVonta Smith,WR,,,,,,,,,,2,186,1,9,,,,,,,,
Davante Adams,WR,,,,,,,,,,4,122,0,10,,,,,,,,
Travis Kelce,TE,,,,,,,,,,,,,,3,53,1,,,,,
Sam LaPorta,TE,,,,,,,,,,,,,,7,45,2,,,,,
Mark Andrews,TE,,,,,,,,,,,,,,4,15,1,,,,,
Dawson Knox,TE,,,,,,,,,,,,,,11,44,1,,,,,
Cowboys Defensive Line,D/ST,,,,,,,,,,,,,,,,,225,0,20,,
Baltimore Defensive Line,D/ST,,,,,,,,,,,,,,,,,258,1,3,,
Pittsburgh Defensive Line,D/ST,,,,,,,,,,,,,,,,,446,2,3,,
Seattle Defense Line,D/ST,,,,,,,,,,,,,,,,,311,0,22,,
Justin Tucker,Kicker,,,,,,,,,,,,,,,,,,,,2,4
Brandon Aubrey,Kicker,,,,,,,,,,,,,,,,,,,,2,6
Brett Maher,Kicker,,,,,,,,,,,,,,,,,,,,4,5
Cameron Dicker,Kicker,,,,,,,,,,,,,,,,,,,,1,7
